# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.load.cache.metadata.from.file.ms,1727728194182000000,1727728254155000000,0
jps.load.initial.state.ms,1727728194182000000,1727728254155000000,0
workspaceModel.sync.entities.ms,1727728194182000000,1727728254155000000,0
jps.library.entities.serializer.load.entities.ms,1727728194182000000,1727728254155000000,0
workspaceModel.load.cache.from.file.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1727728194182000000,1727728254155000000,0
jps.global.initialize.library.bridges.after.loading.ms,1727728194182000000,1727728254155000000,0
jps.modifiable.module.model.bridge.renaming.ms,1727728194182000000,1727728254155000000,0
jps.save.global.entities.ms,1727728194182000000,1727728254155000000,0
jps.library.entities.serializer.save.entities.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1727728194182000000,1727728254155000000,0
jps.global.handle.before.change.events.ms,1727728194182000000,1727728254155000000,0
jps.project.serializers.save.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleBridge.before.changed.ms,1727728194182000000,1727728254155000000,0
jps.apply.loaded.storage.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1727728194182000000,1727728254155000000,0
jps.app.storage.content.reader.load.component.ms,1727728194182000000,1727728254155000000,0
jps.artifact.entities.serializer.save.entities.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1727728194182000000,1727728254155000000,0
jps.facet.change.listener.before.change.events.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1727728194182000000,1727728254155000000,0
workspaceModel.save.cache.to.file.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.instances.count,1727728194182000000,1727728254155000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1727728194182000000,1727728254155000000,0
jps.global.handle.changed.events.ms,1727728194182000000,1727728254155000000,0
jps.storage.jps.conf.reader.load.component.ms,1727728194182000000,1727728254155000000,0
